Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2006","2006","?C","0.945","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2007","2007","?C","-1.956","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2008","2008","?C","2.185","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2009","2009","?C","-1.485","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2010","2010","?C","-3.373","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2011","2011","?C","-0.974","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2012","2012","?C","-2.121","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2013","2013","?C","-0.09","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2014","2014","?C","1.224","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2015","2015","?C","0.58","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2016","2016","?C","0.826","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2017","2017","?C","-1.099","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2018","2018","?C","-0.026","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2019","2019","?C","0.191","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7004","April","2020","2020","?C","2.87","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7005","May","1961","1961","?C","0.497","Fc","Calculated data"
